skuid,num
1.00027E+11,897
1.00027E+11,491
1.00027E+11,350
1.00027E+11,272
1.00014E+11,252
1.00027E+11,230
1.00014E+11,229
1.0004E+11,225
1.00463E+13,220
1.00035E+11,212
1.00012E+11,200
1.00463E+13,200
1.00011E+11,180
1.0001E+11,177
52242639743,174
1.00383E+13,162
1.00014E+11,160
1.00019E+11,154
NULL,152
1.00018E+11,146
1.00019E+11,139
1.00019E+11,127
1.00016E+11,127
1.00039E+11,124
1.00023E+11,122
1.00027E+11,121
1.00008E+11,119
1.0003E+11,116
1.00017E+11,112
1.00014E+11,108
1.00031E+11,108
1.00039E+11,105
1.00022E+11,97
1.00014E+11,97
1.00017E+11,97
1.00036E+11,96
1.00028E+11,96
1.00019E+11,95
1.00014E+11,94
1.00023E+11,93
1.00015E+11,90
1.0002E+11,90
1.00014E+11,88
1.00017E+11,87
1.00038E+11,85
1.00026E+11,84
1.00018E+11,83
1.00019E+11,78
1.00019E+11,78
1.00019E+11,78
1.00035E+11,77
1.00031E+11,75
1.00039E+11,73
1.00029E+11,73
70202792225,70
1.00024E+11,70
1.00027E+11,70
1.00017E+11,67
1.00022E+11,66
1.00013E+11,66
1.00015E+11,66
1.0003E+11,66
1.00038E+11,65
1.00035E+11,64
1.00035E+11,64
1.0001E+11,63
1.00026E+11,62
1.00009E+11,62
1.00011E+11,61
1.00019E+11,61
1.00014E+11,60
1.00472E+13,59
1.00008E+11,59
1.00012E+11,57
1.00023E+11,57
1.00275E+13,56
1.00028E+11,56
1.00016E+11,56
1.00034E+11,55
4679424,55
1.00022E+11,54
1.0004E+11,54
1.00015E+11,54
1.00018E+11,53
1.00021E+11,53
1.00023E+11,52
28100295826,52
1.00015E+11,52
1.0002E+11,51
1.00033E+11,51
1.00031E+11,51
1.00376E+13,50
5675728,50
1.00027E+11,50
1.00033E+11,50
1.00028E+11,50
1.00016E+11,50
1.00275E+13,49
1.00014E+11,49
1.00413E+13,49