Sum of uv,Column Labels,,,,,,,,,,,,
,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,Grand Total
Row Labels,,,,,,,,,,,,,
0,2051,1942,1998,2105,2209,2339,2320,2344,1989,2132,2183,2228,25840
1,1946,1958,2017,2078,2259,2196,2320,2305,1988,2304,2128,2143,25642
2,1927,1968,2007,2308,2287,2115,2235,2281,2036,2218,2297,2283,25962
3,2082,2046,1980,2376,2429,2338,2269,2427,2065,2373,2296,2361,27042
4,2055,2008,1958,2377,2419,2206,2335,2366,2018,2315,2373,2357,26787
5,1892,1913,1833,2188,2281,2048,2179,2050,1927,2242,2276,2295,25124
6,1769,1891,1777,1987,2182,1953,2107,1982,1758,2058,2046,2193,23703
7,2020,2043,1989,2041,2297,2179,2634,2140,1961,2056,2105,2191,25656
8,2452,2446,2301,2468,2677,2619,4255,2573,2450,2609,2701,2478,32029
9,3012,3042,2903,2898,3128,3166,4444,3212,2784,3021,3117,3051,37778
10,3141,3102,2979,3041,3280,3471,4433,3419,2986,3095,3116,3193,39256
11,2130,2326,2280,2356,2457,2621,3494,2576,2403,2365,2335,2215,29558
12,1234,1255,1263,1318,1463,1406,1531,1967,1453,1412,1393,1408,17103
13,625,626,675,748,860,741,738,984,728,717,762,758,8962
14,414,378,363,395,477,415,457,501,393,389,431,480,5093
15,247,261,225,262,315,259,251,327,244,287,256,297,3231
16,224,222,210,218,240,257,231,297,226,206,223,247,2801
17,326,321,334,363,303,341,413,501,395,375,336,374,4382
18,615,661,663,695,654,712,736,880,747,714,619,609,8305
19,937,944,1020,1084,1052,1021,1157,1335,1036,1036,1033,1046,12701
20,1340,1321,1342,1383,1438,1405,1590,1764,1444,1427,1454,1390,17298
21,1792,1687,1833,1916,1976,1931,2105,2168,1788,1829,1896,1876,22797
22,2014,2036,2067,2087,2312,2238,2310,2293,2128,2054,2214,2187,25940
23,1997,1934,2065,2141,2272,2243,2300,2449,2087,2129,2234,2176,26027
Grand Total,38242,38331,38082,40833,43267,42220,48844,45141,39034,41363,41824,41836,499017